lookback,test_year,seed,A1_no_memory,A2_memory,A2L_long_memory,hl_A2,hl_A2L
1,2021,42,0.7680721312115774,0.7249763857282245,0.7239433288637351,2.7995289385183537,2.3081210526262868
1,2021,43,0.7435858747970485,0.6899571035845722,0.6865801566506297,3.7809787752739332,2.6590852097893327
1,2021,44,0.6886331349060554,0.7375784380609295,0.7423568735331937,1.4857126745088312,4.047325708077238
1,2022,42,0.6424836959317575,0.6897509212184944,0.6865041244948888,2.605081628684139,3.5664508637050796
1,2022,43,0.6929372198964137,0.6273933276286612,0.6837375542973874,2.681471101622834,4.496956030239623
1,2022,44,0.636838730621234,0.6383854808759738,0.6267953440410288,0.927049204577794,3.991353849199653
1,2023,42,0.7708745495585002,0.7584742916684359,0.7627592759228041,4.589060759256643,14.520645685787816
1,2023,43,0.7445297336381319,0.7793742714211644,0.7846669241625625,2.6580770836054666,9.779828802635953
1,2023,44,0.7724333078523307,0.763894783776046,0.7618135101194135,0.9061362108934252,4.31300558185343
1,2024,42,0.7280699442426758,0.7721818085272282,0.7721019897597269,3.225653341887203,11.485142417246433
1,2024,43,0.7658917936498901,0.7638376771841637,0.7661675963748752,2.8764673127180918,8.743637386571278
1,2024,44,0.7813892650099489,0.779868473692553,0.776726234979178,0.8409508023788712,2.7443455401323065
1,2025,42,0.7670239198444216,0.7939462867534366,0.7931123506542809,2.6913745443801464,7.491551699168504
1,2025,43,0.7910813327530194,0.7933970114408857,0.7939797913612189,2.6394929525329656,10.87961593116213
1,2025,44,0.806451413573432,0.7962917371533738,0.7975589399872818,0.827014529833229,5.070872913298519
2,2021,42,0.7654664984801692,0.7136559366781985,0.7163929832557001,2.4737598277133412,4.63581874728702
2,2021,43,0.7515329999984353,0.6951774232484592,0.692196157655944,3.728269127794559,2.663986208239605
2,2021,44,0.7153775384437746,0.7435656383281218,0.746045041653523,1.5305873050414533,3.9373551012271593
2,2022,42,0.649297251783431,0.6883310301768925,0.6895444413301484,2.729609693743009,3.615849624023353
2,2022,43,0.6896093267210168,0.6602201924913191,0.6630428333154289,2.6821534398456617,6.464662220065589
2,2022,44,0.6399197478982251,0.6617660768918224,0.6637793461367432,1.1944779435995274,4.484672443074174
2,2023,42,0.7679649657528979,0.7600270918873007,0.7644427681220525,4.900589896083381,16.391710967284226
2,2023,43,0.7661138652920393,0.7862283416414168,0.7885301953489228,2.5746979153340552,8.415593950527803
2,2023,44,0.7482039837330983,0.7861662093307745,0.7618718846466119,1.0281226899313392,1.499855106755765
2,2024,42,0.7939455884988756,0.7592396200285982,0.757749499301209,3.2192645147263197,10.14218815448325
2,2024,43,0.7810669086491423,0.7988448839979444,0.8001205583398351,2.7242964981749473,10.343769222856974
2,2024,44,0.7562612807216799,0.7670477493725442,0.7636569081929037,0.991212362543648,4.409186505463096
2,2025,42,0.7760368808400255,0.7877873627236515,0.7880129881334839,2.7988186142690927,7.280676498918173
2,2025,43,0.7805053765164209,0.7904267943196759,0.790933836087639,2.6483323340857314,4.102637463288644
2,2025,44,0.8023679138820016,0.7998591008922584,0.8010200596482911,0.9563668503703184,6.275093815237027
3,2021,42,0.7648312561400852,0.7215303768809811,0.7093714286317349,2.7963061027181597,3.9869254750752394
3,2021,43,0.7572488349413335,0.6992396228344999,0.6964828438741191,3.7039097364086087,2.668901355679375
3,2021,44,0.7006001735565662,0.728692125762241,0.7282561009962273,2.516174822135653,2.6047329163497386
3,2022,42,0.644518080198098,0.6895431869992503,0.687621859680588,2.709774621957165,3.206715727656889
3,2022,43,0.7063175647122296,0.6675364772739745,0.6669434734203962,2.791866725404294,4.261213294038883
3,2022,44,0.6602111352283506,0.6629228315926494,0.664515191686167,1.2509453382391817,4.820893992747974
3,2023,42,0.7714396867749509,0.7707398785815899,0.7690071519229505,4.848455560729085,14.61210915350376
3,2023,43,0.7694956540027994,0.7704812233127062,0.7713905438874569,2.493907541114931,8.124918978560265
3,2023,44,0.776939729597372,0.7545319591547726,0.7539880653077926,0.6021940031218966,1.7748789539820586
3,2024,42,0.7763598346748557,0.7659905529504187,0.7654228743028065,3.3318754001447695,10.224189476653613
3,2024,43,0.782584421300565,0.8032866653605599,0.801999393660635,2.838482476520874,9.737863723446507
3,2024,44,0.7807719819442586,0.7561327302881112,0.7545929384882689,1.058823481626504,4.903686680084144
3,2025,42,0.7857835149412016,0.8019014155418236,0.8027277393798188,3.716965673461555,17.711042997682604
3,2025,43,0.7846526940640665,0.7895579692085762,0.7896850363912387,2.6287008181915827,9.943974182580224
3,2025,44,0.7951375806038506,0.7925624205620592,0.7941375444697776,1.0281209061573715,6.069164508246021
6,2021,42,0.737852686993223,0.7155984687350823,0.7139900589168285,2.6938214221257204,2.4173646040960297
6,2021,43,0.7526885550672536,0.6949677934357539,0.6918142982461792,3.5762522434460635,2.673478602958747
6,2021,44,0.6569577665445746,0.7134379153802289,0.7138344467060657,2.5084172146414696,2.5729849969913885
6,2022,42,0.6628218466892513,0.6975999490519407,0.6975342466981428,2.6854990250195825,3.2755781587713386
6,2022,43,0.6940101596334993,0.6823349795595866,0.67981985363223,2.806815226334552,4.0905946038246075
6,2022,44,0.6434638735301649,0.6689874677842472,0.6695657897625684,1.500880389705111,4.56807521858967
6,2023,42,0.7639839157424071,0.751730986336524,0.7550771175585846,4.618706710631293,14.411642198518468
6,2023,43,0.7671092095616536,0.7772232603582873,0.7772014343142603,2.488825550469171,8.705115689347094
6,2023,44,0.7644306863501613,0.76578845282376,0.7660658612376601,0.9226561288278841,2.7008756077471956
6,2024,42,0.7702001445393281,0.7451136667561504,0.744911524921481,3.241504402908417,9.055256485549334
6,2024,43,0.7454289943748489,0.7840921576285194,0.7848389268726765,2.624187292056639,8.475791612217556
