actor,test_year,param,annual_gain,mean_daily_inc,sd_daily_inc,sharpe_incremental,mean_daily_level,sharpe_level,DM,p_value,T,TP,FP,FN,TN,L_year
premium_generator,2021,40.0,565.2357300607484,1.5485910412623245,27.136004138482374,0.05706776256959003,224.14113337586707,2.222489450141022,-1.117939045102157,0.2643303096607845,365,83,27,34,8616,19.259
premium_generator,2021,60.0,378.09179988505093,1.0358679448905506,28.68718427417702,0.03610908393763115,336.83234087853896,2.2241868392871886,-0.7372104512027904,0.4614692986667075,365,74,23,43,8620,19.259
premium_generator,2021,90.0,-9.31040161875697,-0.025507949640430055,34.489992724234476,-0.0007395753847900012,505.57686088257356,2.224982574679457,0.015267662851012428,0.987827005516728,365,74,23,43,8620,19.259
flexible_load,2021,0.0,1812.68,4.966246575342466,39.061622208433924,0.12713876932305662,4.966246575342466,0.12713876932305662,-2.4071390817786766,0.016575211266450562,365,107,49,32,8572,16.357
flexible_load,2021,5.0,1320.49,3.6177808219178083,32.85975414681601,0.11009762293879968,3.6177808219178083,0.11009762293879968,-1.996665135382946,0.04660587755606249,365,90,23,49,8598,16.357
flexible_load,2021,15.0,190.48999999999995,0.521890410958904,26.5974117552041,0.01962184951536835,0.521890410958904,0.01962184951536835,-0.35002451575458665,0.7265227412955115,365,90,23,49,8598,16.357
premium_generator,2022,40.0,-164.670482519921,-0.4511520069038931,9.194183040798693,-0.04906928705921237,257.50444212684005,2.2995376368460843,0.9429720013173781,0.34632065863511974,365,33,9,27,8691,19.105
premium_generator,2022,60.0,-285.7595528116214,-0.7829028844154011,13.614151236163103,-0.057506551149203174,386.286808760102,2.299350711762606,1.1074115294446243,0.2688472949161258,365,33,9,27,8691,19.105
premium_generator,2022,90.0,0.0,0.0,0.0,,580.7408879106778,2.2989031970386384,0.0,1.0,365,0,0,60,8700,19.105
flexible_load,2022,0.0,-158.70000000000005,-0.4347945205479453,7.6212528010237754,-0.0570502687549662,-0.4347945205479453,-0.0570502687549662,1.076368551002138,0.28247533736641905,365,59,43,11,8647,2.126
flexible_load,2022,5.0,-376.96,-1.0327671232876712,6.795242579746324,-0.15198384916616559,-1.0327671232876712,-0.15198384916616559,2.719535341288567,0.00685068764322927,365,51,28,19,8662,2.126
flexible_load,2022,15.0,-999.46,-2.738246575342466,14.832599406672243,-0.18461002689189482,-2.738246575342466,-0.18461002689189482,2.9642789780812038,0.0032337169071512406,365,47,22,23,8668,2.126
premium_generator,2023,40.0,0.0,0.0,0.0,,264.3152147469958,1.8737164726276958,0.0,1.0,365,0,0,259,8501,17.365
premium_generator,2023,60.0,0.0,0.0,0.0,,400.0742808223152,2.084881185477254,0.0,1.0,365,0,0,259,8501,17.365
premium_generator,2023,90.0,0.0,0.0,0.0,,603.712879935294,2.216410475005546,0.0,1.0,365,0,0,259,8501,17.365
flexible_load,2023,0.0,2921.96,8.0053698630137,94.42450683120417,0.08478063726956306,8.0053698630137,0.08478063726956306,-1.6367822221065895,0.10254022114443795,365,221,84,79,8376,12.892
flexible_load,2023,5.0,0.0,0.0,0.0,,0.0,,0.0,1.0,365,0,0,300,8460,12.892
flexible_load,2023,15.0,0.0,0.0,0.0,,0.0,,0.0,1.0,365,0,0,300,8460,12.892
premium_generator,2024,40.0,1800.35344437199,4.918998481890683,39.136766137266314,0.12568740259831476,263.85315244307907,2.407449896910445,-2.1225833964197505,0.03446154241011157,366,142,38,247,8357,16.524
premium_generator,2024,60.0,0.0,0.0,0.0,,393.2894066982701,2.2101184138102044,0.0,1.0,366,0,0,389,8395,16.524
premium_generator,2024,90.0,0.0,0.0,0.0,,594.8222858038927,2.292491523593075,0.0,1.0,366,0,0,389,8395,16.524
flexible_load,2024,0.0,4081.34,11.15120218579235,52.64028526776178,0.21183779930276372,11.15120218579235,0.21183779930276372,-3.594496811302156,0.0003696561432569023,366,165,28,292,8299,11.497
flexible_load,2024,5.0,3116.34,8.514590163934427,47.72027384805062,0.17842710188642913,8.514590163934427,0.17842710188642913,-3.059180256094586,0.0023834234906601193,366,165,28,292,8299,11.497
flexible_load,2024,15.0,0.0,0.0,0.0,,0.0,,0.0,1.0,366,0,0,457,8327,11.497
premium_generator,2025,40.0,1732.872764064774,4.747596613876093,44.063389283363634,0.10774469896868721,255.40042182909372,2.3600448965544985,-2.0513660546084442,0.04094652874159177,365,230,45,288,8196,15.538
premium_generator,2025,60.0,1156.7296963214255,3.1691224556751383,48.02142482413822,0.0659939280702509,384.8694349638652,2.4200043605222654,-1.3007594584458109,0.19416366191482815,365,230,45,288,8196,15.538
premium_generator,2025,90.0,292.5150947064028,0.8014112183737063,56.0160492155986,0.014306814379021576,579.0729546660225,2.4562411192094538,-0.2862495810001562,0.7748498164686612,365,230,45,288,8196,15.538
flexible_load,2025,0.0,5098.1125,13.967431506849316,68.30643803846138,0.20448191865874574,13.967431506849316,0.20448191865874574,-3.179719239706827,0.0016005756291102013,365,350,72,226,8111,10.893
flexible_load,2025,5.0,3130.0,8.575342465753424,59.88057384915952,0.14320741961082237,8.575342465753424,0.14320741961082237,-2.3455052198401005,0.019537550335978482,365,288,37,288,8146,10.893
flexible_load,2025,15.0,-120.00000000000045,-0.3287671232876725,56.420619798208755,-0.005827073939696604,-0.3287671232876725,-0.005827073939696604,0.09496901552160994,0.9243916954671447,365,288,37,288,8146,10.893
