family,task,test_year,n_days,mean_diff,gw_uncond_z,gw_uncond_p,gw_cond_W,gw_cond_p,boot5_lo,boot5_hi,boot10_lo,boot10_hi,boot20_lo,boot20_hi,boot10_excludes_zero,gw_uncond_bh05,gw_cond_bh05
infoset,y_neg,2021,365,0.00023951868387621462,0.2763230378700634,0.7822999628288105,1.3035082447620285,0.5211308472638385,-0.0014763584803496822,0.002015401007761568,-0.001444002943891074,0.0020590540201081433,-0.0013879711924933104,0.002041416431770177,False,False,False
infoset,y_neg,2022,365,-0.0005228879437068334,-1.063631190822083,0.2874958068593645,43.45380372554051,3.6654425088746855e-10,-0.0015709141374904876,3.3483849744428594e-05,-0.0015647627392656699,3.48013681266841e-05,-0.0015728159381375242,4.1630572232604874e-05,False,False,True
infoset,y_neg,2023,365,0.0010931378040123314,0.5116640515646543,0.6088861493862774,0.8158909708458337,0.6650151308528732,-0.002162571683171378,0.0058258974529028585,-0.0020240950294858964,0.005178376828315887,-0.001932540047071485,0.005068896907883106,False,False,False
infoset,y_neg,2024,366,0.004917999861209751,1.5987263754582899,0.10988141439568455,12.982809950374477,0.001516416982463189,-0.000854237121039703,0.011087841931405272,-0.0013668476381190296,0.011489271418430085,-0.0015883792264199635,0.011889408063604268,False,False,True
infoset,y_neg,2025,365,0.007144460339350411,3.4945263595295164,0.0004749037112741217,14.587798337805184,0.0006796727205902051,0.0032848889876253306,0.011402331897600773,0.0032051589444314606,0.011445855447933532,0.002924863633295349,0.012042487854044,True,True,True
infoset,y_run3,2021,365,-0.0006250190208221873,-0.9359190025414081,0.34931489251741454,4.001878942121483,0.13520819935967412,-0.0020898087879632336,0.0006100055977653364,-0.0020999356506189388,0.0006029782725181572,-0.0019936693562119727,0.0005766382223521401,False,False,False
infoset,y_run3,2022,365,-0.00045859761743755636,-1.3858192843824717,0.16580209231593557,4.469800744408177,0.10700278977419503,-0.001190761932955177,9.671234310800501e-06,-0.0011736983735985138,2.3854618467701886e-06,-0.0011688457372533861,-1.1537803730287896e-07,False,False,False
infoset,y_run3,2023,365,0.0005529217078558328,0.2556200137443451,0.7982442629823159,0.5173115197986654,0.7720887612150966,-0.0028716611920309855,0.005272266630352301,-0.002750822656339617,0.005145485737827835,-0.002690650086919146,0.004687712530754607,False,False,False
infoset,y_run3,2024,366,0.0059450543737831684,1.8468477687264957,0.06476920645823814,17.37901065035395,0.00016834328081088092,-4.778627270561568e-05,0.012636820486782009,-0.0004992720525907043,0.012448267355610214,-0.0009125983315289575,0.012704889415571408,False,False,True
infoset,y_run3,2025,365,0.006895555959008798,3.0389491500953203,0.0023740492223578435,11.35427813160725,0.003423338392702475,0.0024949617242931866,0.011952297427696238,0.0023357763952379365,0.012379235902100482,0.0019254231125168182,0.012670909162238656,True,True,True
infoset,y_run4,2021,365,-0.0004137809497848585,-0.5721158525256553,0.5672434901209007,3.1463119859388025,0.207389628230417,-0.0019570208694791058,0.0009590583358900037,-0.002028990975065742,0.0009446093173086689,-0.0019249076486369855,0.0009513483013814961,False,False,False
infoset,y_run4,2022,365,-0.0006597359736787654,-1.2532568926520204,0.21011223099772525,2.0352292233060423,0.3614561258641517,-0.0018260514062435414,5.180305980007905e-07,-0.0018251860871742972,9.602134548162145e-07,-0.0018291389151359433,-6.5039032151944e-07,False,False,False
infoset,y_run4,2023,365,0.002777924231368228,0.9975911936332877,0.31847763310349175,8.568371948546972,0.013784838168260337,-0.0012904702104236292,0.008954157206495571,-0.0011127347815369781,0.008557414480502866,-0.001010119168331723,0.008154735884246008,False,False,True
infoset,y_run4,2024,366,0.0031745370068057563,0.9374460691514985,0.34852915288996167,32.83189443419512,7.424115305793026e-08,-0.003263199881239784,0.010038713298223183,-0.0032703554580139874,0.010043142738891868,-0.0031676216988761625,0.00973406055760004,False,False,True
infoset,y_run4,2025,365,0.00419240826179936,1.9504924845425349,0.05111744827913034,4.512906569811468,0.10472124329293696,0.0002106904016100459,0.008344232142514648,0.00043076010976951713,0.008630463960082055,0.0005497673170633969,0.008674914983248894,True,False,False
infoset,y_run6,2021,365,0.00027954018456213977,1.0685360747009611,0.2852787666952321,7.065957154640422,0.02921775877577374,-6.300675395272514e-06,0.0008422772992768377,-6.698537826019326e-06,0.0008399001023933838,-7.545072691544687e-06,0.0008386396579874602,False,False,False
infoset,y_run6,2022,365,-0.0007193679814676029,-0.9885969927866587,0.32286035812187563,1.2968500596683463,0.5228686311000351,-0.002373564184800612,0.0003564004944044319,-0.0023065417843470487,0.0003563088706022631,-0.002306685447499381,0.0003597392654750688,False,False,False
infoset,y_run6,2023,365,0.0006613645199579996,0.3673670449144214,0.7133452500142541,1.6256452139917268,0.4436041771835306,-0.002679328135920118,0.004593049029466628,-0.0020969639669751803,0.003964482928844535,-0.0015684501398007763,0.003451728338784391,False,False,False
infoset,y_run6,2024,366,0.004259068191372213,1.8331100339321065,0.06678620924008083,8.586277509528575,0.013661976336182215,0.00032627722349735927,0.009066725652888958,0.00036130802481037225,0.00894850257887405,0.00048437617098300115,0.008529861059999979,True,False,True
infoset,y_run6,2025,365,0.00386954938843243,1.6479459444275966,0.09936376417869441,3.0223146580791123,0.22065446031427377,-0.0008268154410759505,0.008689172519131453,-0.000950670400053633,0.00954894640991005,-0.0008134326894051698,0.009766412075921235,False,False,False
infoset,y_day4,2021,365,0.005662455135473985,0.7674895135014281,0.4427905256643756,0.6290660792835832,0.7301297363215412,-0.007354818694909197,0.02003452651751065,-0.005377185007060771,0.01804789426671324,-0.00398967061389758,0.016124670645453514,False,False,False
infoset,y_day4,2022,365,-0.0055861019657073244,-1.0801871851990237,0.28005883372401463,0.7254169789503048,0.6957892338231796,-0.015328453333542309,0.0021570729044887438,-0.014594678545137539,0.002033522759579006,-0.014110497123967359,0.0016201427985438267,False,False,False
infoset,y_day4,2023,365,0.00385796403375726,0.8742600453658552,0.38197665274915193,1.6497895987047142,0.43828109749507327,-0.004158179125171494,0.012637754262087277,-0.003702426716807289,0.012449000837260797,-0.003779776483581651,0.012074032564605644,False,False,False
infoset,y_day4,2024,366,0.028436234856871512,1.977053817127795,0.048035547288296065,8.63569624986846,0.013328534045312106,0.0017738476304491393,0.05685747134764092,0.0013974096072640622,0.05706605079706599,-0.00046841969098554523,0.05731948892635627,True,False,True
