actor,test_year,param,alpha,V
premium_generator,2021,40.0,6.7,-0.8367521367521367
premium_generator,2021,40.0,6.8,-0.8598290598290597
premium_generator,2021,40.0,6.9,-0.8829059829059827
premium_generator,2021,40.0,7.0,-0.9059829059829057
premium_generator,2021,40.0,7.1,-0.9290598290598289
premium_generator,2021,40.0,7.2,-0.9521367521367521
premium_generator,2021,40.0,7.3,-0.9752136752136751
premium_generator,2021,40.0,7.4,-0.9982905982905981
premium_generator,2021,40.0,7.5,-1.0213675213675213
premium_generator,2021,40.0,7.6,-1.0444444444444438
premium_generator,2021,40.0,7.7,-1.0675213675213673
premium_generator,2021,40.0,7.8,-1.0905982905982903
premium_generator,2021,40.0,7.9,-1.1136752136752137
premium_generator,2021,40.0,8.0,-1.1367521367521367
premium_generator,2021,60.0,0.02,0.6285470085470085
premium_generator,2021,60.0,0.04,0.6246153846153846
premium_generator,2021,60.0,0.06,0.6206837606837606
premium_generator,2021,60.0,0.08,0.6167521367521367
premium_generator,2021,60.0,0.1,0.6128205128205128
premium_generator,2021,60.0,0.12,0.6088888888888888
premium_generator,2021,60.0,0.14,0.6049572649572649
premium_generator,2021,60.0,0.16,0.6010256410256409
premium_generator,2021,60.0,0.18,0.5970940170940171
premium_generator,2021,60.0,0.2,0.5931623931623932
premium_generator,2021,60.0,0.22,0.5892307692307692
premium_generator,2021,60.0,0.24,0.5852991452991453
premium_generator,2021,60.0,0.26,0.5813675213675213
premium_generator,2021,60.0,0.28,0.5774358974358974
premium_generator,2021,60.0,0.3,0.5735042735042735
premium_generator,2021,60.0,0.32,0.5695726495726495
premium_generator,2021,60.0,0.34,0.5656410256410256
premium_generator,2021,60.0,0.36,0.5617094017094016
premium_generator,2021,60.0,0.38,0.5577777777777777
premium_generator,2021,60.0,0.4,0.5538461538461539
premium_generator,2021,60.0,0.42,0.5499145299145298
premium_generator,2021,60.0,0.44,0.545982905982906
premium_generator,2021,60.0,0.46,0.542051282051282
premium_generator,2021,60.0,0.48,0.5381196581196581
premium_generator,2021,60.0,0.5,0.5341880341880341
premium_generator,2021,60.0,0.52,0.5302564102564102
premium_generator,2021,60.0,0.54,0.5263247863247862
premium_generator,2021,60.0,0.56,0.5223931623931624
premium_generator,2021,60.0,0.58,0.5184615384615384
premium_generator,2021,60.0,0.6,0.5145299145299145
premium_generator,2021,60.0,0.62,0.5105982905982905
premium_generator,2021,60.0,0.64,0.5066666666666666
premium_generator,2021,60.0,0.66,0.5027350427350427
premium_generator,2021,60.0,0.68,0.4988034188034187
premium_generator,2021,60.0,0.7,0.4948717948717949
premium_generator,2021,60.0,0.72,0.49094017094017095
premium_generator,2021,60.0,0.74,0.487008547008547
premium_generator,2021,60.0,0.76,0.48307692307692307
premium_generator,2021,60.0,0.78,0.47914529914529913
premium_generator,2021,60.0,0.8,0.4752136752136752
premium_generator,2021,60.0,0.82,0.47128205128205125
premium_generator,2021,60.0,0.84,0.4673504273504273
premium_generator,2021,60.0,0.86,0.46341880341880337
premium_generator,2021,60.0,0.88,0.45948717948717943
premium_generator,2021,60.0,0.9,0.4555555555555555
premium_generator,2021,60.0,0.92,0.45162393162393155
premium_generator,2021,60.0,0.94,0.4476923076923077
premium_generator,2021,60.0,0.96,0.4437606837606838
premium_generator,2021,60.0,0.98,0.43982905982905984
premium_generator,2021,60.0,1.0,0.4358974358974359
premium_generator,2021,60.0,1.1,0.4162393162393162
premium_generator,2021,60.0,1.2,0.3965811965811966
premium_generator,2021,60.0,1.3,0.3769230769230769
premium_generator,2021,60.0,1.4,0.3572649572649572
premium_generator,2021,60.0,1.5,0.33760683760683763
premium_generator,2021,60.0,1.6,0.31794871794871793
premium_generator,2021,60.0,1.7,0.29829059829059834
premium_generator,2021,60.0,1.8,0.27863247863247853
premium_generator,2021,60.0,1.9,0.25897435897435894
premium_generator,2021,60.0,2.0,0.23931623931623935
premium_generator,2021,60.0,2.1,0.21965811965811965
premium_generator,2021,60.0,2.2,0.19999999999999996
premium_generator,2021,60.0,2.3,0.18034188034188026
premium_generator,2021,60.0,2.4,0.16068376068376078
premium_generator,2021,60.0,2.5,0.14102564102564097
premium_generator,2021,60.0,2.6,0.12136752136752138
premium_generator,2021,60.0,2.7,0.10170940170940157
premium_generator,2021,60.0,2.8,0.08205128205128209
premium_generator,2021,60.0,2.9,0.062393162393162505
premium_generator,2021,60.0,3.0,0.042735042735042694
premium_generator,2021,60.0,3.1,0.023076923076923217
premium_generator,2021,60.0,3.2,0.0034188034188034067
premium_generator,2021,60.0,3.3,-0.01623931623931618
premium_generator,2021,60.0,3.4,-0.03589743589743599
premium_generator,2021,60.0,3.5,-0.05555555555555558
premium_generator,2021,60.0,3.6,-0.07521367521367539
premium_generator,2021,60.0,3.7,-0.09487179487179476
premium_generator,2021,60.0,3.8,-0.11452991452991435
premium_generator,2021,60.0,3.9,-0.13418803418803416
premium_generator,2021,60.0,4.0,-0.15384615384615374
premium_generator,2021,60.0,4.1,-0.17350427350427333
premium_generator,2021,60.0,4.2,-0.19316239316239314
premium_generator,2021,60.0,4.3,-0.2128205128205125
premium_generator,2021,60.0,4.4,-0.23247863247863232
premium_generator,2021,60.0,4.5,-0.2521367521367519
premium_generator,2021,60.0,4.6,-0.2717948717948717
premium_generator,2021,60.0,4.7,-0.2914529914529913
premium_generator,2021,60.0,4.8,-0.3111111111111111
premium_generator,2021,60.0,4.9,-0.3307692307692307
premium_generator,2021,60.0,5.0,-0.3504273504273505
premium_generator,2021,60.0,5.1,-0.3700854700854699
premium_generator,2021,60.0,5.2,-0.3897435897435897
premium_generator,2021,60.0,5.3,-0.4094017094017093
premium_generator,2021,60.0,5.4,-0.4290598290598291
premium_generator,2021,60.0,5.5,-0.4487179487179487
premium_generator,2021,60.0,5.6,-0.46837606837606827
premium_generator,2021,60.0,5.7,-0.4880341880341881
premium_generator,2021,60.0,5.8,-0.5076923076923077
premium_generator,2021,60.0,5.9,-0.5273504273504273
premium_generator,2021,60.0,6.0,-0.5470085470085468
premium_generator,2021,60.0,6.1,-0.5666666666666664
premium_generator,2021,60.0,6.2,-0.5863247863247862
premium_generator,2021,60.0,6.3,-0.6059829059829058
premium_generator,2021,60.0,6.4,-0.6256410256410256
premium_generator,2021,60.0,6.5,-0.6452991452991452
premium_generator,2021,60.0,6.6,-0.664957264957265
premium_generator,2021,60.0,6.7,-0.6846153846153844
premium_generator,2021,60.0,6.8,-0.7042735042735042
premium_generator,2021,60.0,6.9,-0.7239316239316238
premium_generator,2021,60.0,7.0,-0.7435897435897436
premium_generator,2021,60.0,7.1,-0.7632478632478632
premium_generator,2021,60.0,7.2,-0.782905982905983
premium_generator,2021,60.0,7.3,-0.8025641025641026
premium_generator,2021,60.0,7.4,-0.8222222222222224
premium_generator,2021,60.0,7.5,-0.8418803418803418
premium_generator,2021,60.0,7.6,-0.8615384615384614
premium_generator,2021,60.0,7.7,-0.8811965811965812
premium_generator,2021,60.0,7.8,-0.9008547008547008
premium_generator,2021,60.0,7.9,-0.9205128205128206
premium_generator,2021,60.0,8.0,-0.9401709401709402
premium_generator,2021,90.0,0.02,0.6285470085470085
premium_generator,2021,90.0,0.04,0.6246153846153846
premium_generator,2021,90.0,0.06,0.6206837606837606
premium_generator,2021,90.0,0.08,0.6167521367521367
premium_generator,2021,90.0,0.1,0.6128205128205128
premium_generator,2021,90.0,0.12,0.6088888888888888
premium_generator,2021,90.0,0.14,0.6049572649572649
premium_generator,2021,90.0,0.16,0.6010256410256409
premium_generator,2021,90.0,0.18,0.5970940170940171
premium_generator,2021,90.0,0.2,0.5931623931623932
premium_generator,2021,90.0,0.22,0.5892307692307692
premium_generator,2021,90.0,0.24,0.5852991452991453
premium_generator,2021,90.0,0.26,0.5813675213675213
premium_generator,2021,90.0,0.28,0.5774358974358974
premium_generator,2021,90.0,0.3,0.5735042735042735
premium_generator,2021,90.0,0.32,0.5695726495726495
premium_generator,2021,90.0,0.34,0.5656410256410256
premium_generator,2021,90.0,0.36,0.5617094017094016
premium_generator,2021,90.0,0.38,0.5577777777777777
premium_generator,2021,90.0,0.4,0.5538461538461539
premium_generator,2021,90.0,0.42,0.5499145299145298
premium_generator,2021,90.0,0.44,0.545982905982906
premium_generator,2021,90.0,0.46,0.542051282051282
premium_generator,2021,90.0,0.48,0.5381196581196581
premium_generator,2021,90.0,0.5,0.5341880341880341
premium_generator,2021,90.0,0.52,0.5302564102564102
premium_generator,2021,90.0,0.54,0.5263247863247862
premium_generator,2021,90.0,0.56,0.5223931623931624
premium_generator,2021,90.0,0.58,0.5184615384615384
premium_generator,2021,90.0,0.6,0.5145299145299145
premium_generator,2021,90.0,0.62,0.5105982905982905
premium_generator,2021,90.0,0.64,0.5066666666666666
premium_generator,2021,90.0,0.66,0.5027350427350427
premium_generator,2021,90.0,0.68,0.4988034188034187
premium_generator,2021,90.0,0.7,0.4948717948717949
premium_generator,2021,90.0,0.72,0.49094017094017095
premium_generator,2021,90.0,0.74,0.487008547008547
premium_generator,2021,90.0,0.76,0.48307692307692307
premium_generator,2021,90.0,0.78,0.47914529914529913
premium_generator,2021,90.0,0.8,0.4752136752136752
premium_generator,2021,90.0,0.82,0.47128205128205125
premium_generator,2021,90.0,0.84,0.4673504273504273
premium_generator,2021,90.0,0.86,0.46341880341880337
premium_generator,2021,90.0,0.88,0.45948717948717943
premium_generator,2021,90.0,0.9,0.4555555555555555
premium_generator,2021,90.0,0.92,0.45162393162393155
premium_generator,2021,90.0,0.94,0.4476923076923077
premium_generator,2021,90.0,0.96,0.4437606837606838
premium_generator,2021,90.0,0.98,0.43982905982905984
premium_generator,2021,90.0,1.0,0.4358974358974359
premium_generator,2021,90.0,1.1,0.4162393162393162
premium_generator,2021,90.0,1.2,0.3965811965811966
premium_generator,2021,90.0,1.3,0.3769230769230769
premium_generator,2021,90.0,1.4,0.3572649572649572
premium_generator,2021,90.0,1.5,0.33760683760683763
premium_generator,2021,90.0,1.6,0.31794871794871793
premium_generator,2021,90.0,1.7,0.29829059829059834
premium_generator,2021,90.0,1.8,0.27863247863247853
premium_generator,2021,90.0,1.9,0.25897435897435894
premium_generator,2021,90.0,2.0,0.23931623931623935
premium_generator,2021,90.0,2.1,0.21965811965811965
premium_generator,2021,90.0,2.2,0.19999999999999996
premium_generator,2021,90.0,2.3,0.18034188034188026
premium_generator,2021,90.0,2.4,0.16068376068376078
premium_generator,2021,90.0,2.5,0.14102564102564097
premium_generator,2021,90.0,2.6,0.12136752136752138
premium_generator,2021,90.0,2.7,0.10170940170940157
premium_generator,2021,90.0,2.8,0.08205128205128209
premium_generator,2021,90.0,2.9,0.062393162393162505
premium_generator,2021,90.0,3.0,0.042735042735042694
premium_generator,2021,90.0,3.1,0.023076923076923217
premium_generator,2021,90.0,3.2,0.0034188034188034067
premium_generator,2021,90.0,3.3,-0.01623931623931618
premium_generator,2021,90.0,3.4,-0.03589743589743599
premium_generator,2021,90.0,3.5,-0.05555555555555558
premium_generator,2021,90.0,3.6,-0.07521367521367539
premium_generator,2021,90.0,3.7,-0.09487179487179476
premium_generator,2021,90.0,3.8,-0.11452991452991435
premium_generator,2021,90.0,3.9,-0.13418803418803416
premium_generator,2021,90.0,4.0,-0.15384615384615374
premium_generator,2021,90.0,4.1,-0.17350427350427333
premium_generator,2021,90.0,4.2,-0.19316239316239314
premium_generator,2021,90.0,4.3,-0.2128205128205125
premium_generator,2021,90.0,4.4,-0.23247863247863232
premium_generator,2021,90.0,4.5,-0.2521367521367519
premium_generator,2021,90.0,4.6,-0.2717948717948717
premium_generator,2021,90.0,4.7,-0.2914529914529913
premium_generator,2021,90.0,4.8,-0.3111111111111111
premium_generator,2021,90.0,4.9,-0.3307692307692307
premium_generator,2021,90.0,5.0,-0.3504273504273505
premium_generator,2021,90.0,5.1,-0.3700854700854699
premium_generator,2021,90.0,5.2,-0.3897435897435897
premium_generator,2021,90.0,5.3,-0.4094017094017093
premium_generator,2021,90.0,5.4,-0.4290598290598291
premium_generator,2021,90.0,5.5,-0.4487179487179487
premium_generator,2021,90.0,5.6,-0.46837606837606827
premium_generator,2021,90.0,5.7,-0.4880341880341881
premium_generator,2021,90.0,5.8,-0.5076923076923077
premium_generator,2021,90.0,5.9,-0.5273504273504273
premium_generator,2021,90.0,6.0,-0.5470085470085468
premium_generator,2021,90.0,6.1,-0.5666666666666664
premium_generator,2021,90.0,6.2,-0.5863247863247862
premium_generator,2021,90.0,6.3,-0.6059829059829058
premium_generator,2021,90.0,6.4,-0.6256410256410256
premium_generator,2021,90.0,6.5,-0.6452991452991452
premium_generator,2021,90.0,6.6,-0.664957264957265
premium_generator,2021,90.0,6.7,-0.6846153846153844
premium_generator,2021,90.0,6.8,-0.7042735042735042
premium_generator,2021,90.0,6.9,-0.7239316239316238
premium_generator,2021,90.0,7.0,-0.7435897435897436
premium_generator,2021,90.0,7.1,-0.7632478632478632
premium_generator,2021,90.0,7.2,-0.782905982905983
premium_generator,2021,90.0,7.3,-0.8025641025641026
premium_generator,2021,90.0,7.4,-0.8222222222222224
premium_generator,2021,90.0,7.5,-0.8418803418803418
premium_generator,2021,90.0,7.6,-0.8615384615384614
premium_generator,2021,90.0,7.7,-0.8811965811965812
premium_generator,2021,90.0,7.8,-0.9008547008547008
premium_generator,2021,90.0,7.9,-0.9205128205128206
premium_generator,2021,90.0,8.0,-0.9401709401709402
flexible_load,2021,0.0,0.02,0.7627338129496403
flexible_load,2021,0.0,0.04,0.75568345323741
flexible_load,2021,0.0,0.06,0.7486330935251798
flexible_load,2021,0.0,0.08,0.7415827338129497
flexible_load,2021,0.0,0.1,0.7345323741007195
flexible_load,2021,0.0,0.12,0.7274820143884893
flexible_load,2021,0.0,0.14,0.720431654676259
flexible_load,2021,0.0,0.16,0.7133812949640288
flexible_load,2021,0.0,0.18,0.7063309352517986
flexible_load,2021,0.0,0.2,0.6992805755395683
flexible_load,2021,0.0,0.22,0.6922302158273381
flexible_load,2021,0.0,0.24,0.6851798561151079
flexible_load,2021,0.0,0.26,0.6781294964028777
flexible_load,2021,0.0,0.28,0.6710791366906474
flexible_load,2021,0.0,0.3,0.6640287769784172
flexible_load,2021,0.0,0.32,0.656978417266187
flexible_load,2021,0.0,0.34,0.6499280575539568
flexible_load,2021,0.0,0.36,0.6428776978417265
flexible_load,2021,0.0,0.38,0.6358273381294964
flexible_load,2021,0.0,0.4,0.6287769784172661
flexible_load,2021,0.0,0.42,0.6217266187050359
flexible_load,2021,0.0,0.44,0.6146762589928056
flexible_load,2021,0.0,0.46,0.6076258992805755
flexible_load,2021,0.0,0.48,0.6005755395683452
flexible_load,2021,0.0,0.5,0.5935251798561151
flexible_load,2021,0.0,0.52,0.5864748201438849
flexible_load,2021,0.0,0.54,0.5794244604316546
flexible_load,2021,0.0,0.56,0.5723741007194244
flexible_load,2021,0.0,0.58,0.5653237410071943
flexible_load,2021,0.0,0.6,0.5582733812949641
flexible_load,2021,0.0,0.62,0.5512230215827337
flexible_load,2021,0.0,0.64,0.5441726618705036
flexible_load,2021,0.0,0.66,0.5371223021582734
flexible_load,2021,0.0,0.68,0.5300719424460432
flexible_load,2021,0.0,0.7,0.5230215827338129
flexible_load,2021,0.0,0.72,0.5159712230215827
flexible_load,2021,0.0,0.74,0.5089208633093525
flexible_load,2021,0.0,0.76,0.5018705035971223
flexible_load,2021,0.0,0.78,0.49482014388489204
flexible_load,2021,0.0,0.8,0.4877697841726618
flexible_load,2021,0.0,0.82,0.4807194244604317
flexible_load,2021,0.0,0.84,0.4736690647482015
flexible_load,2021,0.0,0.86,0.46661870503597114
flexible_load,2021,0.0,0.88,0.4595683453237409
flexible_load,2021,0.0,0.9,0.4525179856115108
flexible_load,2021,0.0,0.92,0.4454676258992806
flexible_load,2021,0.0,0.94,0.43841726618705024
flexible_load,2021,0.0,0.96,0.4313669064748201
flexible_load,2021,0.0,0.98,0.4243165467625899
flexible_load,2021,0.0,1.0,0.41726618705035967
flexible_load,2021,0.0,1.1,0.38201438848920866
flexible_load,2021,0.0,1.2,0.3467625899280574
flexible_load,2021,0.0,1.3,0.3115107913669064
flexible_load,2021,0.0,1.4,0.2762589928057554
flexible_load,2021,0.0,1.5,0.24100719424460426
flexible_load,2021,0.0,1.6,0.20575539568345325
flexible_load,2021,0.0,1.7,0.17050359712230212
flexible_load,2021,0.0,1.8,0.1352517985611511
flexible_load,2021,0.0,1.9,0.09999999999999998
flexible_load,2021,0.0,2.0,0.06474820143884885
flexible_load,2021,0.0,2.1,0.029496402877697725
flexible_load,2021,0.0,2.2,-0.0057553956834535125
flexible_load,2021,0.0,2.3,-0.04100719424460442
flexible_load,2021,0.0,2.4,-0.07625899280575554
flexible_load,2021,0.0,2.5,-0.11151079136690667
flexible_load,2021,0.0,2.6,-0.1467625899280578
flexible_load,2021,0.0,2.7,-0.18201438848920892
flexible_load,2021,0.0,2.8,-0.21726618705035983
flexible_load,2021,0.0,2.9,-0.25251798561151095
flexible_load,2021,0.0,3.0,-0.2877697841726621
flexible_load,2021,0.0,3.1,-0.3230215827338132
flexible_load,2021,0.0,3.2,-0.3582733812949641
flexible_load,2021,0.0,3.3,-0.39352517985611524
flexible_load,2021,0.0,3.4,-0.42877697841726636
flexible_load,2021,0.0,3.5,-0.46402877697841727
flexible_load,2021,0.0,3.6,-0.4992805755395686
flexible_load,2021,0.0,3.7,-0.5345323741007197
flexible_load,2021,0.0,3.8,-0.5697841726618706
flexible_load,2021,0.0,3.9,-0.6050359712230218
flexible_load,2021,0.0,4.0,-0.6402877697841729
flexible_load,2021,0.0,4.1,-0.6755395683453238
flexible_load,2021,0.0,4.2,-0.7107913669064752
flexible_load,2021,0.0,4.3,-0.7460431654676261
flexible_load,2021,0.0,4.4,-0.7812949640287772
flexible_load,2021,0.0,4.5,-0.8165467625899283
flexible_load,2021,0.0,4.6,-0.8517985611510792
flexible_load,2021,0.0,4.7,-0.8870503597122303
flexible_load,2021,0.0,4.8,-0.9223021582733815
flexible_load,2021,0.0,4.9,-0.9575539568345326
flexible_load,2021,0.0,5.0,-0.9928057553956837
flexible_load,2021,0.0,5.1,-1.0280575539568342
flexible_load,2021,0.0,5.2,-1.0633093525179858
flexible_load,2021,0.0,5.3,-1.0985611510791364
flexible_load,2021,0.0,5.4,-1.133812949640288
flexible_load,2021,0.0,5.5,-1.1690647482014387
flexible_load,2021,0.0,5.6,-1.2043165467625903
flexible_load,2021,0.0,5.7,-1.2395683453237414
flexible_load,2021,0.0,5.8,-1.2748201438848925
flexible_load,2021,0.0,5.9,-1.3100719424460436
flexible_load,2021,0.0,6.0,-1.3453237410071948
flexible_load,2021,0.0,6.1,-1.3805755395683454
flexible_load,2021,0.0,6.2,-1.415827338129497
flexible_load,2021,0.0,6.3,-1.4510791366906477
flexible_load,2021,0.0,6.4,-1.4863309352517988
flexible_load,2021,0.0,6.5,-1.52158273381295
flexible_load,2021,0.0,6.6,-1.556834532374101
flexible_load,2021,0.0,6.7,-1.5920863309352522
flexible_load,2021,0.0,6.8,-1.6273381294964033
flexible_load,2021,0.0,6.9,-1.6625899280575545
flexible_load,2021,0.0,7.0,-1.6978417266187051
flexible_load,2021,0.0,7.1,-1.7330935251798563
flexible_load,2021,0.0,7.2,-1.7683453237410074
flexible_load,2021,0.0,7.3,-1.8035971223021585
flexible_load,2021,0.0,7.4,-1.8388489208633096
flexible_load,2021,0.0,7.5,-1.8741007194244608
flexible_load,2021,0.0,7.6,-1.9093525179856115
flexible_load,2021,0.0,7.7,-1.944604316546763
