task,test_year,n,base_rate,brier_recal,slope_recal,cal_intercept,cal_slope,cal_intercept_decision,cal_slope_decision,n_decision,mean_p_top1,freq_top1,reliability,resolution,uncertainty,brier,bss
y_neg,2021,8760,0.015867579908675798,,,-0.5441123491007063,0.41710356050900826,-0.3133399121496725,0.2849223299696414,174,0.999463833008648,0.9318181818181818,6.874322826670797e-06,0.0022660208294239073,0.015615799816517586,0.006220603812761404,0.6016468009418531
y_neg,2022,8760,0.007990867579908675,0.0035339508097145633,1.086064655650025,-0.5793412996792634,0.4518947433780352,-0.6177169625582343,0.3232905188836536,100,0.7497931585366822,0.6136363636363636,1.7919589805757603e-06,0.0005746856821167199,0.00792701361522904,0.004212193692549485,0.46862792256882235
y_neg,2023,8760,0.03424657534246575,0.014035843279190423,0.7427264824007582,-0.6745259297144747,0.3352567113981016,-0.8056188464357333,0.29978409063138634,364,0.9999986670253468,0.9886363636363636,2.562054949975306e-05,0.010095702758491273,0.03307374741977857,0.016220582163591908,0.5095632207104608
y_neg,2024,8784,0.052026411657559196,0.024045114540755395,1.0448652503875364,0.12795533480601823,0.3502291139849772,0.08417256171381479,0.23456326004890352,466,0.9999866342591681,0.9318181818181818,0.0006546226760000205,0.019883896545488923,0.049319664147597385,0.026524716250257895,0.4621878167929485
y_neg,2025,8759,0.06576093161319785,0.02060719046442122,1.165999576214883,-0.12192144690412661,0.4083570974952353,-0.08949161132640575,0.3412078627112835,706,0.9999803253460636,1.0,0.00017418974664316645,0.033445595781425565,0.061436431486562165,0.023303183863677128,0.6206943779152574
y_run4,2021,8760,0.013356164383561644,,,-0.5465915935142315,0.42521425974417065,-0.0027645081769209776,0.22540483472063017,150,0.9941944227090137,0.8409090909090909,2.87776855124106e-06,0.0016054841433664855,0.013177777256520924,0.005278824292986679,0.599414666811545
y_run4,2022,8760,0.00684931506849315,0.0031850601223232483,1.1904214300783167,0.07635243987458949,0.5052537475253566,0.09640992574950347,0.22547104105149102,81,0.5412365173377537,0.5795454545454546,1.98142254360713e-05,0.000422218052167386,0.006802401951585663,0.003619811126379568,0.4678628002075388
y_run4,2023,8760,0.0295662100456621,0.012790528498852389,0.6951360031906445,-0.6631502527645913,0.3511639331840951,-0.5544379678268093,0.2661977612196616,313,0.9999976579597952,0.9886363636363636,4.739616381895992e-06,0.0076672843560392796,0.02869204926919789,0.014321867563413915,0.5008419430399823
y_run4,2024,8784,0.044285063752276865,0.02238080782581599,0.9337352841670576,-0.04607405126514612,0.32790157324443886,-0.16333157748416394,0.2534502464896802,382,0.9999699892211961,0.9431818181818182,0.0005976800921963867,0.01457658970388279,0.04232389688073364,0.024575768467550028,0.41934060238349125
y_run4,2025,8759,0.05913917113825779,0.020609063227874917,1.1473827394376817,-0.01068928110819923,0.3760265408131994,0.18985817349236087,0.23119619481117498,585,0.9999852928326358,0.9659090909090909,0.00024758181327818744,0.027209880630776145,0.055641729575337646,0.023568155507819537,0.5764302136598973
y_day4,2021,365,0.052054794520547946,,,0.08783809100327486,0.35787523749040806,,,18,0.9999948399893968,1.0,0.0006121495825103881,0.022023936114759907,0.049345092887971474,0.022191606102126765,0.5502773466754125
y_day4,2022,365,0.0273972602739726,0.021449700938832143,0.801988274842043,-0.9259271501580586,0.2870204823086809,,,12,0.9998013709010592,0.75,0.0004061902886031567,0.006859740205583703,0.026646650403452803,0.027686549723321043,-0.039025517433646906
y_day4,2023,365,0.0958904109589041,0.037044876705386524,1.008418189009745,-0.72341125404267,0.2894609065073119,0.06940509706598466,0.14953095982391357,42,0.9999927908184517,1.0,0.008663200028134078,0.04719772315005941,0.0866954400450366,0.047793570422500035,0.44871875155518903
y_day4,2024,366,0.16120218579234974,0.06530565648547607,0.9505621332992431,0.023773848922082348,0.27518264841270157,-0.8750661809182988,0.4386961585439678,56,0.9999986743933909,1.0,0.008367793618829703,0.07730362047077985,0.1352160410881185,0.07356519032332913,0.45594332054591313
y_day4,2025,365,0.21643835616438356,0.06936251124573801,1.0080471092753724,0.0871198733177115,0.2774408138821632,0.3113070084280149,0.18380841392264274,75,0.9999996902547117,1.0,0.01842312353201125,0.0988741302758942,0.169592794145243,0.08379380262202057,0.505911775058923
