year,n_hours,neg_hours,neg_share,episodes,median_h,mean_h,half_life_h,share_ge_eeg
2019,8760,211,0.02408675799086758,49,3.0,4.3061224489795915,2.62295642111985,0.40816326530612246
2020,8784,298,0.033925318761384333,60,3.0,4.966666666666667,3.083082058367243,0.48333333333333334
2021,8760,139,0.015867579908675798,26,4.5,5.346153846153846,3.3471446528745212,0.6153846153846154
2022,8760,70,0.007990867579908675,14,4.5,5.0,3.1062837195053903,0.7142857142857143
2023,8760,300,0.03424657534246575,50,5.0,6.0,3.8017840169239308,0.68
2024,8784,457,0.052026411657559196,90,5.0,5.0777777777777775,3.1604153955216656,0.6333333333333333
2025,8759,576,0.06576093161319785,104,5.0,5.538461538461538,3.480900880678672,0.7596153846153846
