variant,seed,test_year,val_pr_auc,PR_AUC,ROC_AUC,Brier,base_rate,gate_mean,gate_std,epochs,rho,half_life_h,M_corr_target,gate_corr_target
A0,42,2021,0.69823248153023,0.5003172849008274,0.980198391861009,0.07047389798976846,0.01335616409778595,0.0,0.0,9,,,,
A0,43,2021,0.7376676929606146,0.5047117015461509,0.9786567065289732,0.07748037680658654,0.01335616409778595,0.0,0.0,9,,,,
A0,44,2021,0.7506053848673154,0.5403906192079538,0.9830572836473566,0.08303090105782658,0.01335616409778595,0.0,0.0,9,,,,
A0,42,2022,0.7525940825188555,0.7254421360437432,0.994668582375479,0.012413442566034114,0.006849315017461777,0.0,0.0,15,,,,
A0,43,2022,0.7636701028307987,0.691962126250992,0.9956915708812261,0.010969288574089905,0.006849315017461777,0.0,0.0,12,,,,
A0,44,2022,0.7837864248007506,0.7013784961822973,0.9964521072796935,0.01409318227174442,0.006849315017461777,0.0,0.0,11,,,,
A0,42,2023,0.7558852005353077,0.7381845968360163,0.9841837821487274,0.04468152393559563,0.029566209763288498,0.0,0.0,41,,,,
A0,43,2023,0.7126425583287159,0.7356874282478186,0.9834598155383947,0.04513044281315685,0.029566209763288498,0.0,0.0,38,,,,
A0,44,2023,0.7307950816787173,0.7447726115686605,0.9850960073286859,0.044602459093853374,0.029566209763288498,0.0,0.0,45,,,,
A0,42,2024,0.7874205851999485,0.7310945431577474,0.980894644412836,0.08510565218197771,0.044285062700510025,0.0,0.0,23,,,,
A0,43,2024,0.7832647415059619,0.7132205496835602,0.9795515754113646,0.05807856538594065,0.044285062700510025,0.0,0.0,17,,,,
A0,44,2024,0.7941500735214674,0.7529788673792385,0.981526829992758,0.06717295151145491,0.044285062700510025,0.0,0.0,23,,,,
A0,42,2025,0.7580688938866773,0.7582371911373411,0.9763530497057983,0.04955025472921975,0.05913916975259781,0.0,0.0,15,,,,
A0,43,2025,0.7226048684327637,0.7173134135556376,0.9690377100278812,0.05171733470557918,0.05913916975259781,0.0,0.0,19,,,,
A0,44,2025,0.7314537555364116,0.7315087619002454,0.9716880799880435,0.05641350161822143,0.05913916975259781,0.0,0.0,21,,,,
A1,42,2021,0.6827323871871589,0.494383262600318,0.9799402905963128,0.09375244932845883,0.01335616409778595,0.0,0.0,9,,,,
A1,43,2021,0.7218537572954279,0.5023508971157504,0.9801776250925852,0.10702638749075848,0.01335616409778595,0.0,0.0,9,,,,
A1,44,2021,0.7330732877707324,0.6121608027955847,0.9847235695899355,0.027975576548431292,0.01335616409778595,0.0,0.0,10,,,,
A1,42,2022,0.7589462445343872,0.757012865182532,0.9961149425287357,0.012872316879495698,0.006849315017461777,0.0,0.0,12,,,,
A1,43,2022,0.7632230610342086,0.6945724347034364,0.995235632183908,0.010735216930606115,0.006849315017461777,0.0,0.0,12,,,,
A1,44,2022,0.7713402226606743,0.7278313703305231,0.9943850574712643,0.012517752621416797,0.006849315017461777,0.0,0.0,12,,,,
A1,42,2023,0.7347706899039813,0.7281776695980775,0.9832840469824354,0.04357455749837947,0.029566209763288498,0.0,0.0,42,,,,
A1,43,2023,0.6563734817786978,0.7518088755706441,0.9876053646198335,0.06179174613121645,0.029566209763288498,0.0,0.0,18,,,,
A1,44,2023,0.7532539913615789,0.7668362491020178,0.9868350714133562,0.049618043231418184,0.029566209763288498,0.0,0.0,32,,,,
A1,42,2024,0.7947440557050908,0.7094071651389409,0.9781477222792977,0.06808779093862319,0.044285062700510025,0.0,0.0,20,,,,
A1,43,2024,0.7890636406024593,0.7042736696419709,0.9773605907543815,0.07347199319966626,0.044285062700510025,0.0,0.0,20,,,,
A1,44,2024,0.7818313406704278,0.7080821606616743,0.9793995385305551,0.07045523467127901,0.044285062700510025,0.0,0.0,18,,,,
A1,42,2025,0.7350047909296127,0.7294441064041957,0.9712711046893792,0.04565641849363243,0.05913916975259781,0.0,0.0,21,,,,
A1,43,2025,0.7345068996995778,0.7421264042810403,0.9734419530560775,0.04906556321437774,0.05913916975259781,0.0,0.0,18,,,,
A1,44,2025,0.7476354409411319,0.7478037438022599,0.9735214828953453,0.05467442100165593,0.05913916975259781,0.0,0.0,14,,,,
A2,42,2021,0.734141077521944,0.5380726632446398,0.9811368520150192,0.0826499428826998,0.01335616409778595,0.0,0.0,9,0.7499157190322876,2.408479984222915,0.41972887539110093,
A2,43,2021,0.7713420265028559,0.5180570702191771,0.9798067899421596,0.0864611674629507,0.01335616409778595,0.0,0.0,9,0.7662496566772461,2.6033966816440013,0.39913134043864823,
A2,44,2021,0.7458407687622884,0.6373717508381772,0.985966609014162,0.03563437103747616,0.01335616409778595,0.0,0.0,10,0.7777535319328308,2.7577454113198465,0.3358117739313489,
A2,42,2022,0.7510316437302929,0.7401185069412136,0.9952605363984676,0.015806655304464706,0.006849315017461777,0.0,0.0,16,0.6454227566719055,1.5830708960984607,0.30748288560665504,
A2,43,2022,0.741900848514578,0.7138051438414714,0.9955555555555555,0.014537757662186825,0.006849315017461777,0.0,0.0,13,0.8472086191177368,4.180412766902396,0.2604463076158577,
A2,44,2022,0.7980670693049186,0.694798213111123,0.9962528735632183,0.011052690993587492,0.006849315017461777,0.0,0.0,11,0.80959552526474,3.2816282309571303,0.09832040360564356,
A2,42,2023,0.6939690890936391,0.7778385118367659,0.9882419011345019,0.057799139183293685,0.029566209763288498,0.0,0.0,21,0.540464460849762,1.126470739087709,0.4905799451648704,
