lookback,test_year,seed,A1_no_memory,A2_memory,A2L_long_memory,hl_A2,hl_A2L
1,2021,42,0.7446431169041247,0.69625063403077,0.686864437019915,2.741411068313505,2.459640998934086
1,2021,43,0.7105326206434831,0.6455898524297218,0.6419524493872688,3.8497359399726094,2.6466071481555065
1,2021,44,0.6281379336880709,0.6646271834312368,0.6704540896045542,1.9562799527231616,3.125328810811926
1,2022,42,0.659470451890096,0.6487116677240723,0.6438793203697101,2.8351859053918056,2.372528929998364
1,2022,43,0.7122795037372581,0.7315365653677901,0.7308431856874646,2.68459535400158,4.097939774218294
1,2022,44,0.7125043982643472,0.6845759727349118,0.6858989855532059,1.171181528769288,3.8456429995487538
1,2023,42,0.7777613074050899,0.7974649714879196,0.7811605948351046,3.2512284270019345,8.271496042929405
1,2023,43,0.7652400528589464,0.7883302334120385,0.7886684064102097,2.508863798578467,6.557999387977521
1,2023,44,0.7807805135017326,0.7678032775081892,0.730595742790741,0.5333074548273012,1.2341611353389135
1,2024,42,0.7335226368787172,0.7742841667090384,0.7749484722728531,3.0751938589081704,7.438099511667018
1,2024,43,0.7662075648227551,0.7431985628000022,0.7448924956671826,2.8175064004959034,5.747532688262142
1,2024,44,0.7421743928193315,0.7531534544806515,0.7501118072780315,0.8030311614273201,2.8760146902593324
1,2025,42,0.727912933507089,0.7448126451857754,0.7464338687576905,2.5195339528953786,3.7521385425163336
1,2025,43,0.7096221556722464,0.7311717700957641,0.7376815552332195,2.4928317074698914,7.235418075333443
1,2025,44,0.7386763534714722,0.7082254629868311,0.7244790769450546,0.737923648835924,3.6834168036935635
2,2021,42,0.7470683012205781,0.6913457517718822,0.6854426291993783,2.7476898362550672,2.459956172564019
2,2021,43,0.7167055752318516,0.6511801475873835,0.6475107764191678,3.801655258423082,2.6615894676972442
2,2021,44,0.6212034313548848,0.6715005452469162,0.6716921472915588,2.4955956120295983,2.624841397413976
2,2022,42,0.6599969869677542,0.640741645843337,0.6372277644223933,2.8515383772186804,2.390748112365366
2,2022,43,0.7070850951971968,0.7236307893687375,0.7239769289453559,2.7121429382913917,3.825832020253351
