test_year,shift_cost,threshold,days,days_acted,hours_changed,annual_value_per_MW,mean_daily,sd_daily,sharpe,C,L,alpha,L_market,L_contract,C_market,C_contract,pistar,alpha_exante,pistar_exante,n_favourable,n_adverse,precision,DM,p_value
2022,0.0,0.05,365,9,18,188.07,0.5152602739726028,6.288152758214672,0.08194143714137364,0.17249999999999766,37.752,0.004569294342021552,37.752,-0.0,0.17249999999999766,0.0,0.004548510857097593,-0.0,-0.0,5,4,0.5555555555555556,-1.5802432126588386,0.11491971622508346
2022,5.0,0.05,365,9,18,98.07,0.2686849315068493,5.425248758353811,0.04952490539592818,6.218571428571428,70.8,0.08783292978208232,83.3,-12.5,-3.067142857142858,9.285714285714286,0.08074119414612431,0.05740750486816483,0.05429080520411312,2,7,0.2222222222222222,-0.9464891764148387,0.3445270246751302
2022,15.0,0.85,365,6,13,-173.52999999999997,-0.4754246575342465,4.892694784113273,-0.0971703076754276,28.921666666666663,,,,,-3.5783333333333345,32.5,,0.25527861565327825,0.20336410775262423,0,6,0.0,1.5447976095297848,0.12326414945033992
2023,0.0,0.44999999999999996,365,36,40,846.55,2.3193150684931507,21.942899558014126,0.10569774802829444,1.8870588235294117,46.24368421052631,0.040806844345240685,46.24368421052631,-0.0,1.8870588235294117,0.0,0.03920693312783871,0.007710358699295906,0.007651363938788985,19,17,0.5277777777777778,-1.6916646354779505,0.091565791085914
2023,5.0,0.44999999999999996,365,36,40,646.55,1.7713698630136985,20.37326161363616,0.08694581636492074,4.2219999999999995,68.37272727272726,0.06174976731817578,77.9181818181818,-9.545454545454545,0.4219999999999996,3.8,0.05815849385505084,0.09402540176257128,0.08594444115382338,11,25,0.3055555555555556,-1.3949774280729454,0.1638732422048066
2023,15.0,1.01,365,0,0,0.0,0.0,0.0,,,,,,,,,,,,0,0,,0.0,1.0
2024,0.0,0.05,366,75,68,1395.3999999999999,3.8125683060109288,22.662802846024746,0.16823021988560813,2.5188095238095265,45.49060606060606,0.05536988275016112,45.49060606060606,-0.0,2.5188095238095265,0.0,0.05246490700101672,0.0323090757500573,0.031297870481843924,33,42,0.44,-2.3649160902395066,0.018556620105693256
2024,5.0,0.05,366,75,68,1055.3999999999999,2.883606557377049,21.3044699431797,0.13535218501412147,5.124600000000002,52.465199999999996,0.0976761739209991,59.26519999999999,-6.8,1.7246000000000021,3.4,0.08898450767323383,0.05330879854965537,0.05061079772907856,25,50,0.3333333333333333,-1.8844263560223034,0.06030174288517487
2024,15.0,0.44999999999999996,366,53,48,214.71999999999986,0.5866666666666662,15.497955493383177,0.03785445550654359,10.099318181818184,73.23222222222222,0.13790812125258106,101.56555555555556,-28.333333333333332,-0.4688636363636345,10.568181818181818,0.1211944256982499,0.10659338576708045,0.09632570295293325,9,44,0.16981132075471697,-0.5951636501065904,0.5521028869003719
2025,0.0,0.2,364,93,52,329.40750000000025,0.9049656593406601,12.24782986690058,0.07388783720667975,2.293051470588232,19.413400000000003,0.11811694348173075,19.413400000000003,-0.0,2.293051470588232,0.0,0.10563916786192651,0.19471025487301435,0.1629769679123664,25,68,0.26881720430107525,-1.3167542281789584,0.18875171371478072
2025,5.0,1.01,364,0,0,0.0,0.0,0.0,,,,,,,,,,,,0,0,,0.0,1.0
2025,15.0,1.01,364,0,0,0.0,0.0,0.0,,,,,,,,,,,,0,0,,0.0,1.0
