actor,param,TP,FP,FN,TN,L_mean,L,C,alpha,pistar,n_acted,pi,pi_lo,pi_hi,resolves,alpha_star
flexible_load,0.0,902,276,640,42005,10.753,10.753,0.0,0.0,0.0,1178,0.765704584040747,0.7408849471461998,0.789220438327501,above,3.268115942028986
flexible_load,5.0,594,116,948,42165,10.753,10.753,5.0,0.4649865153910537,0.3173998603440614,710,0.8366197183098592,0.8080820017394252,0.8624198222486175,above,5.120689655172414
flexible_load,15.0,425,82,1117,42199,10.753,10.753,15.0,1.394959546173161,0.5824564128451054,507,0.8382642998027613,0.8043310595097019,0.8683489390213168,above,5.182926829268291
premium_generator,40.0,488,119,855,42361,17.5582,17.5582,40.0,2.2781378501213108,0.6949487649023076,607,0.8039538714991763,0.7709691133748019,0.8340482250353602,above,4.100840336134454
premium_generator,60.0,337,77,1006,42403,17.5582,17.5582,60.0,3.4172067751819664,0.773612590287036,414,0.8140096618357487,0.7744139465623688,0.8492332362854218,above,4.3766233766233755
premium_generator,90.0,304,68,1039,42412,17.5582,17.5582,90.0,5.125810162772949,0.8367562863640337,372,0.8172043010752689,0.7755533954880326,0.8539423170131368,unresolved,4.4705882352941195
