model,task,test_year,PR_AUC,ROC_AUC,n,base_rate,mae
LEAR-noexog-rank,y_neg,2021,0.4773607551293568,0.9599530675888474,8760,0.015867579908675798,23.22641608973591
LEAR-noexog-rank,y_run4,2021,0.4874929070193478,0.970042947654888,8760,0.013356164383561644,23.22641608973591
LEAR-noexog-rank,y_day4,2021,0.6313054835854469,0.9066017645269242,365,0.052054794520547946,23.22641608973591
LEAR-noexog-rank,y_neg,2022,0.26880452214090383,0.9585632089429559,8760,0.007990867579908675,23.22641608973591
LEAR-noexog-rank,y_run4,2022,0.3287849846281957,0.975551724137931,8760,0.00684931506849315,23.22641608973591
LEAR-noexog-rank,y_day4,2022,0.364462778470769,0.9507042253521127,365,0.0273972602739726,23.22641608973591
LEAR-noexog-rank,y_neg,2023,0.4746552951001316,0.9347403467297084,8760,0.03424657534246575,23.22641608973591
LEAR-noexog-rank,y_run4,2023,0.48480852689509907,0.9342852691870455,8760,0.0295662100456621,23.22641608973591
LEAR-noexog-rank,y_day4,2023,0.6056120735053592,0.8644155844155845,365,0.0958904109589041,23.22641608973591
LEAR-noexog-rank,y_neg,2024,0.6142088049446107,0.9452678127280453,8784,0.052026411657559196,23.22641608973591
LEAR-noexog-rank,y_run4,2024,0.5835497938932235,0.9472363124702395,8784,0.044285063752276865,23.22641608973591
LEAR-noexog-rank,y_day4,2024,0.6521433601583432,0.8782642301109701,366,0.16120218579234974,23.22641608973591
LEAR-noexog-rank,y_neg,2025,0.697746421780928,0.9700989178106372,8759,0.06576093161319785,23.22641608973591
LEAR-noexog-rank,y_run4,2025,0.672759263826052,0.9723783146608047,8759,0.05913917113825779,23.22641608973591
LEAR-noexog-rank,y_day4,2025,0.7704929081949006,0.9282110294768522,365,0.21643835616438356,23.22641608973591
LEAR-noexog-prob,y_neg,2021,0.48078183376342026,0.9139945858779372,8040,0.01728855721393035,23.22641608973591
LEAR-noexog-prob,y_run4,2021,0.5017210678349815,0.9161598417843684,8043,0.01454681089145841,23.22641608973591
LEAR-noexog-prob,y_day4,2021,0.6345396144003213,0.8494936078366263,336,0.05654761904761905,23.22641608973591
LEAR-noexog-prob,y_neg,2022,0.2606818735995635,0.9607685352622061,8760,0.007990867579908675,23.22641608973591
LEAR-noexog-prob,y_run4,2022,0.33597755489902503,0.981162835249042,8760,0.00684931506849315,23.22641608973591
LEAR-noexog-prob,y_day4,2022,0.35627989507039665,0.9550704225352112,365,0.0273972602739726,23.22641608973591
LEAR-noexog-prob,y_neg,2023,0.4498870146318766,0.9205981087470448,8760,0.03424657534246575,23.22641608973591
LEAR-noexog-prob,y_run4,2023,0.4874404682941762,0.9293519408799964,8760,0.0295662100456621,23.22641608973591
LEAR-noexog-prob,y_day4,2023,0.6029434005595828,0.8506926406926407,365,0.0958904109589041,23.22641608973591
LEAR-noexog-prob,y_neg,2024,0.6276490951897257,0.9501069390417243,8784,0.052026411657559196,23.22641608973591
LEAR-noexog-prob,y_run4,2024,0.6033375054461676,0.9550029014087527,8784,0.044285063752276865,23.22641608973591
LEAR-noexog-prob,y_day4,2024,0.662012064803494,0.8829293877325677,366,0.16120218579234974,23.22641608973591
LEAR-noexog-prob,y_neg,2025,0.6965644545008707,0.9714108135769278,8759,0.06576093161319785,23.22641608973591
LEAR-noexog-prob,y_run4,2025,0.6657322728400002,0.9736953006883841,8759,0.05913917113825779,23.22641608973591
LEAR-noexog-prob,y_day4,2025,0.7643741577133946,0.9327476321147207,365,0.21643835616438356,23.22641608973591
