variant,seed,test_year,val_pr_auc,PR_AUC,ROC_AUC,Brier,base_rate,gate_mean,gate_std,epochs,rho,half_life_h,M_corr_target,gate_corr_target
A0,42,2021,0.8160948880191888,0.7294057108789614,0.9872638254087601,0.017424320872235822,0.015867579728364944,0.0,0.0,28,,,,
A0,43,2021,0.8106859620506985,0.7229727168940965,0.9871261325239773,0.02044316509405241,0.015867579728364944,0.0,0.0,15,,,,
A0,44,2021,0.8256196155696394,0.7222425811851091,0.9885381104697496,0.028506571432557155,0.015867579728364944,0.0,0.0,10,,,,
A0,42,2022,0.8308609167905637,0.6708044909865652,0.9948002630281111,0.017621785319684637,0.007990867830812931,0.0,0.0,16,,,,
A0,43,2022,0.8285778717797284,0.6454826426614898,0.9953822127239849,0.01965679874031822,0.007990867830812931,0.0,0.0,12,,,,
A0,44,2022,0.8459197303580668,0.7071743205800702,0.9960019727108335,0.015304431964449128,0.007990867830812931,0.0,0.0,12,,,,
A0,42,2023,0.8804719953924832,0.7346535451363183,0.9837767927501971,0.06339674500361675,0.034246575087308884,0.0,0.0,47,,,,
A0,43,2023,0.890189465764885,0.7262722643749927,0.9841126871552405,0.06932299848262659,0.034246575087308884,0.0,0.0,52,,,,
A0,44,2023,0.8824838460078919,0.7298479970469572,0.983798463356974,0.05964625489926696,0.034246575087308884,0.0,0.0,56,,,,
A0,42,2024,0.7744563263368862,0.7542197746181433,0.9798058778500982,0.06496908114263321,0.0520264133810997,0.0,0.0,25,,,,
A0,43,2024,0.7820587248953078,0.7259453096148023,0.9749436267405679,0.07475962551205173,0.0520264133810997,0.0,0.0,23,,,,
A0,44,2024,0.7785351467375905,0.7392424395183114,0.9788128255373427,0.06716278035491355,0.0520264133810997,0.0,0.0,17,,,,
A0,42,2025,0.7797213468651898,0.8089899934194141,0.9794424755930315,0.046841191325570825,0.06576093286275864,0.0,0.0,17,,,,
A0,43,2025,0.7566135138405473,0.7749059944035805,0.9760962768340868,0.04974065902831991,0.06576093286275864,0.0,0.0,19,,,,
A0,44,2025,0.762693260200506,0.7961289277044897,0.9754638257498607,0.03862223046413933,0.06576093286275864,0.0,0.0,11,,,,
A1,42,2021,0.8283508064056376,0.7447684630119749,0.9894894431282488,0.018171638912014145,0.015867579728364944,0.0,0.0,22,,,,
A1,43,2021,0.8243692766084667,0.7430527693645076,0.9891664907257584,0.02513861073000784,0.015867579728364944,0.0,0.0,13,,,,
